tracking_id,source,campaign,influencer_id,user_id,product,date,orders,revenue
1,Twitter,SummerSale,5,eef9678c-122f-41c8-bc47-6c9b352813f4,Vitamins,2025-02-01 15:13:48.671890,4,47.902364834081666
2,YouTube,SummerSale,8,57defcaf-9aba-41f0-97fd-a1ac30269cb6,Vitamins,2025-01-06 06:05:31.244511,5,33.73725649484719
3,YouTube,WinterSpecial,16,cc47b6d6-b6ed-43c1-b188-53c140e83b42,GymWear,2025-01-02 14:47:59.763403,3,260.2422781816508
4,YouTube,SummerSale,19,1c56abb6-eb67-428e-82e8-99be1e5e73a0,Vitamins,2025-01-09 22:07:59.742114,3,463.4850928148462
5,YouTube,WinterSpecial,21,1db63c17-1120-4e93-972b-576ef6a26e1a,GymWear,2025-07-19 06:06:38.798635,2,479.4940980525998
6,Instagram,WinterSpecial,6,5a53b155-1812-495c-9445-f3c0cdca0802,GymWear,2025-07-14 19:39:49.988008,1,223.04312511509
7,Twitter,NewLaunch,13,6f541c59-b1cc-42ce-a735-d678f9c84761,Vitamins,2025-02-18 05:44:45.393250,1,107.85626890476158
8,Instagram,WinterSpecial,36,5c53216f-109d-489e-a946-c4d5a39276eb,ProteinPowder,2025-02-16 02:35:11.422749,2,425.5475827098545
9,Twitter,SummerSale,19,19d1d21b-9ef0-41e1-a2a5-8c450e7259bd,GymWear,2025-02-14 16:29:22.242140,3,213.31667156773997
10,YouTube,SummerSale,30,aebcfe3c-cf48-4850-901b-e7dd6263b622,GymWear,2025-02-17 15:18:57.514373,2,454.72537437110753
11,Twitter,WinterSpecial,22,7333d0ed-93d3-4288-add9-92e55b0a4f1a,ProteinPowder,2025-04-24 21:22:46.732252,1,445.9258251634545
12,YouTube,WinterSpecial,17,d1521f82-f238-4197-8746-f1e9fd4bf185,Vitamins,2025-01-26 21:16:42.064800,4,270.67431173745103
13,Twitter,NewLaunch,40,447a252c-175b-46d1-9bab-dbc4190337c2,ProteinPowder,2025-03-11 17:32:29.731776,2,440.09032211391775
14,Instagram,WinterSpecial,29,2e0c5349-a85c-49d8-b84b-a8b062551d79,GymWear,2025-05-30 23:12:09.740709,2,465.57738273767836
15,Instagram,SummerSale,2,9bf49742-1f5a-40e8-adb7-b2f7615237fc,EnergyBar,2025-04-20 05:32:30.627120,2,408.00961292386916
